iter,acc,f1-score,auc,recall,cm,params
67,0.8164667393675027,0.8265484901576831,0.8154309634335789,0.8445661331086773,"[[3477  945]
 [ 738 4010]]","{'max_depth': 49, 'learning_rate': 0.0212, 'n_estimators': 250}"
68,0.8139585605234461,0.8231024471173786,0.8131486341746121,0.8359309182813817,"[[3495  927]
 [ 779 3969]]","{'max_depth': 45, 'learning_rate': 0.0962, 'n_estimators': 500}"
69,0.8157033805888768,0.8264174198849631,0.814538540734331,0.8473041280539174,"[[3457  965]
 [ 725 4023]]","{'max_depth': 37, 'learning_rate': 0.0512, 'n_estimators': 100}"
70,0.8153762268266085,0.8251935983479608,0.8144089424974384,0.8416175231676495,"[[3481  941]
 [ 752 3996]]","{'max_depth': 43, 'learning_rate': 0.0309, 'n_estimators': 950}"
71,0.8109051254089422,0.8197879858657244,0.8101767337014856,0.8306655433866892,"[[3492  930]
 [ 804 3944]]","{'max_depth': 47, 'learning_rate': 0.1492, 'n_estimators': 650}"
72,0.8127589967284624,0.8218325204939296,0.8119747246763808,0.8340353833192923,"[[3493  929]
 [ 788 3960]]","{'max_depth': 40, 'learning_rate': 0.1201, 'n_estimators': 350}"
73,0.8085059978189749,0.8173496983565633,0.8078056241729242,0.8275063184498737,"[[3485  937]
 [ 819 3929]]","{'max_depth': 31, 'learning_rate': 0.1297, 'n_estimators': 750}"
74,0.813413304252999,0.82296947749612,0.8125211710460488,0.8376158382476833,"[[3482  940]
 [ 771 3977]]","{'max_depth': 50, 'learning_rate': 0.1393, 'n_estimators': 300}"
75,0.812649945474373,0.8216732406061864,0.8118771806891865,0.8336141533277169,"[[3494  928]
 [ 790 3958]]","{'max_depth': 42, 'learning_rate': 0.0759, 'n_estimators': 850}"
76,0.8149400218102508,0.8243453058689577,0.8140653476128585,0.8386689132266217,"[[3491  931]
 [ 766 3982]]","{'max_depth': 46, 'learning_rate': 0.0622, 'n_estimators': 550}"
77,0.8172300981461287,0.8270738753611225,0.8162379875151317,0.8441449031171019,"[[3486  936]
 [ 740 4008]]","{'max_depth': 16, 'learning_rate': 0.1037, 'n_estimators': 200}"
78,0.8130861504907306,0.8223834196891192,0.8122518296165644,0.8357203032855939,"[[3488  934]
 [ 780 3968]]","{'max_depth': 36, 'learning_rate': 0.0404, 'n_estimators': 1200}"
79,0.813413304252999,0.8225287833212322,0.8126143331744433,0.8350884582982309,"[[3494  928]
 [ 783 3965]]","{'max_depth': 48, 'learning_rate': 0.1129, 'n_estimators': 400}"
80,0.802071973827699,0.810443864229765,0.8015148466901916,0.8171861836562764,"[[3475  947]
 [ 868 3880]]","{'max_depth': 32, 'learning_rate': 0.1801, 'n_estimators': 1050}"
81,0.8174482006543076,0.8274582560296846,0.8164175484681211,0.8454085930918281,"[[3482  940]
 [ 734 4014]]","{'max_depth': 44, 'learning_rate': 0.0834, 'n_estimators': 100}"
82,0.811123227917121,0.8202946669433493,0.8103330041223765,0.8325610783487785,"[[3485  937]
 [ 795 3953]]","{'max_depth': 41, 'learning_rate': 0.248, 'n_estimators': 300}"
83,0.8078516902944384,0.8166111573688593,0.807173779185561,0.8262426284751474,"[[3485  937]
 [ 825 3923]]","{'max_depth': 23, 'learning_rate': 0.2021, 'n_estimators': 650}"
84,0.8116684841875682,0.8203474461666493,0.8109759942723389,0.8304549283909014,"[[3500  922]
 [ 805 3943]]","{'max_depth': 49, 'learning_rate': 0.1699, 'n_estimators': 450}"
85,0.7838604143947655,0.7928511705685618,0.7833074136859548,0.7988626790227464,"[[3395 1027]
 [ 955 3793]]","{'max_depth': 2, 'learning_rate': 0.0184, 'n_estimators': 200}"
86,0.8130861504907306,0.821829521829522,0.8123682822770577,0.8325610783487785,"[[3503  919]
 [ 795 3953]]","{'max_depth': 28, 'learning_rate': 0.1304, 'n_estimators': 550}"
87,0.8178844056706652,0.8276218001651529,0.8169086500559926,0.8443555181128897,"[[3491  931]
 [ 739 4009]]","{'max_depth': 34, 'learning_rate': 0.0274, 'n_estimators': 750}"
88,0.8107960741548528,0.8198899615903664,0.8100248451393945,0.8317186183656277,"[[3486  936]
 [ 799 3949]]","{'max_depth': 46, 'learning_rate': 0.0993, 'n_estimators': 850}"
89,0.8127589967284624,0.8216844947554263,0.812005778719179,0.8331929233361416,"[[3497  925]
 [ 792 3956]]","{'max_depth': 38, 'learning_rate': 0.0712, 'n_estimators': 950}"
90,0.8172300981461287,0.8273588792748248,0.8161758794295352,0.8458298230834035,"[[3478  944]
 [ 732 4016]]","{'max_depth': 43, 'learning_rate': 0.0904, 'n_estimators': 150}"
